After 100 steps, rate is 0.00010.  cost is 5.99396, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 200 steps, rate is 0.00010.  cost is 5.38614, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 300 steps, rate is 0.00010.  cost is 5.22800, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 400 steps, rate is 0.00010.  cost is 4.93834, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 500 steps, rate is 0.00010.  cost is 4.71953, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 600 steps, rate is 0.00010.  cost is 5.19840, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 700 steps, rate is 0.00010.  cost is 4.67673, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 800 steps, rate is 0.00010.  cost is 4.44599, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 900 steps, rate is 0.00010.  cost is 4.23769, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 1000 steps, rate is 0.00010.  cost is 3.97960, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 1100 steps, rate is 0.00010.  cost is 3.93798, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 1200 steps, rate is 0.00010.  cost is 3.59901, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 1300 steps, rate is 0.00010.  cost is 4.15097, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 1400 steps, rate is 0.00010.  cost is 4.36940, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 1500 steps, rate is 0.00010.  cost is 4.17886, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 1600 steps, rate is 0.00010.  cost is 4.21551, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 1700 steps, rate is 0.00010.  cost is 3.94568, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 1800 steps, rate is 0.00010.  cost is 4.12687, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 1900 steps, rate is 0.00010.  cost is 3.84910, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 2000 steps, rate is 0.00010.  cost is 3.49429, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 2100 steps, rate is 0.00010.  cost is 4.06895, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 2200 steps, rate is 0.00010.  cost is 3.98051, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 2300 steps, rate is 0.00010.  cost is 3.26172, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 2400 steps, rate is 0.00010.  cost is 3.99677, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 2500 steps, rate is 0.00010.  cost is 3.63684, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 2600 steps, rate is 0.00010.  cost is 3.38685, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 2700 steps, rate is 0.00010.  cost is 4.04232, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 2800 steps, rate is 0.00010.  cost is 3.79587, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 2900 steps, rate is 0.00010.  cost is 3.92329, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 3000 steps, rate is 0.00010.  cost is 3.80120, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 3100 steps, rate is 0.00010.  cost is 3.39483, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 3200 steps, rate is 0.00010.  cost is 3.90544, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 3300 steps, rate is 0.00010.  cost is 3.72331, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 3400 steps, rate is 0.00010.  cost is 3.11897, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 3500 steps, rate is 0.00010.  cost is 3.30491, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 3600 steps, rate is 0.00010.  cost is 3.50971, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 3700 steps, rate is 0.00010.  cost is 3.03063, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 3800 steps, rate is 0.00010.  cost is 3.67694, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 3900 steps, rate is 0.00010.  cost is 3.14394, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4000 steps, rate is 0.00010.  cost is 3.64996, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4100 steps, rate is 0.00010.  cost is 2.88715, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4200 steps, rate is 0.00010.  cost is 3.71344, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4300 steps, rate is 0.00010.  cost is 3.38087, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4400 steps, rate is 0.00010.  cost is 4.08505, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4500 steps, rate is 0.00010.  cost is 3.26569, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4600 steps, rate is 0.00010.  cost is 3.38129, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4700 steps, rate is 0.00010.  cost is 4.07625, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4800 steps, rate is 0.00010.  cost is 3.10867, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 4900 steps, rate is 0.00010.  cost is 3.49040, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 5000 steps, rate is 0.00010.  cost is 3.36864, In iterator: 0. nowCBleu: 0.00000, maxCBlue: 0.00000. nowSBleu: 0.00000, maxSBlue: 0.00000.
After 5100 steps, rate is 0.00010.  cost is 3.20575, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 5200 steps, rate is 0.00010.  cost is 2.74312, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 5300 steps, rate is 0.00010.  cost is 2.92365, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 5400 steps, rate is 0.00010.  cost is 2.76542, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 5500 steps, rate is 0.00010.  cost is 3.27994, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 5600 steps, rate is 0.00010.  cost is 3.48485, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 5700 steps, rate is 0.00010.  cost is 3.03903, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 5800 steps, rate is 0.00010.  cost is 3.38497, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 5900 steps, rate is 0.00010.  cost is 2.89667, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 6000 steps, rate is 0.00010.  cost is 3.48885, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 6100 steps, rate is 0.00010.  cost is 3.31831, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 6200 steps, rate is 0.00010.  cost is 2.79278, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 6300 steps, rate is 0.00010.  cost is 3.20362, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 6400 steps, rate is 0.00010.  cost is 2.99003, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 6500 steps, rate is 0.00010.  cost is 3.55212, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 6600 steps, rate is 0.00010.  cost is 3.80419, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 6700 steps, rate is 0.00010.  cost is 3.11983, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 6800 steps, rate is 0.00010.  cost is 2.60869, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 6900 steps, rate is 0.00010.  cost is 3.44159, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 7000 steps, rate is 0.00010.  cost is 2.75803, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 7100 steps, rate is 0.00010.  cost is 2.94560, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 7200 steps, rate is 0.00010.  cost is 2.90089, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 7300 steps, rate is 0.00010.  cost is 2.89400, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 7400 steps, rate is 0.00010.  cost is 2.69134, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 7500 steps, rate is 0.00010.  cost is 2.38413, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 7600 steps, rate is 0.00010.  cost is 3.23927, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 7700 steps, rate is 0.00010.  cost is 2.98893, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 7800 steps, rate is 0.00010.  cost is 3.08805, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 7900 steps, rate is 0.00010.  cost is 2.86466, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 8000 steps, rate is 0.00010.  cost is 3.04976, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 8100 steps, rate is 0.00010.  cost is 2.89100, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 8200 steps, rate is 0.00010.  cost is 2.05863, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 8300 steps, rate is 0.00010.  cost is 3.19733, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 8400 steps, rate is 0.00010.  cost is 3.08264, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 8500 steps, rate is 0.00010.  cost is 2.98472, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 8600 steps, rate is 0.00010.  cost is 3.03218, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 8700 steps, rate is 0.00010.  cost is 3.39456, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 8800 steps, rate is 0.00010.  cost is 2.07272, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 8900 steps, rate is 0.00010.  cost is 2.66148, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
After 9000 steps, rate is 0.00010.  cost is 3.02996, In iterator: 0. nowCBleu: 0.14143, maxCBlue: 0.14143. nowSBleu: 0.15892, maxSBlue: 0.15892.
